GEOID,houseValue
6099002602,107700
6107002602,83400
6071002603,133700
6083002603,112500
6099002603,121900
6083002604,225e3
6099002604,96300
6099002605,104900
6007002700,97300
6029002700,79500
6067002700,79e3
6107002700,145e3
6111002700,233100
6019002701,63100
6071002701,149700
6077002701,85300
6099002701,148700
6019002702,61400
6071002702,140500
6073002702,166300
6077002702,79800
6083002702,130900
6099002702,114500
6073002703,131500
6083002703,137300
6073002705,139600
6083002705,142100
6073002706,140900
6083002706,133900
6073002707,104600
6083002707,153900
6073002708,98e3
6083002708,165500
6073002709,120900
6073002710,139600
6007002800,76400
6019002800,59200
6067002800,70500
6071002800,108400
6077002800,96300
6107002800,92600
6111002800,222300
6073002801,270600
6099002801,101100
6083002802,171300
6099002802,119200
6073002803,188600
6099002803,147700
6029002804,109100
6073002804,220900
6083002805,285e3
6029002806,146400
6083002806,142400
6029002807,186800
6083002807,161400
6029002808,173900
6083002808,170200
6083002809,142100
6029002811,264800
6029002812,74500
6029002813,91800
6029002814,97200
6029002815,92900
6029002816,86500
6029002817,89700
6029002818,144100
6029002819,99900
6029002820,124e3
6029002821,105100
6007002900,83600
6029002900,81100
6067002900,111e3
6019002901,78500
6071002901,98e3
6099002901,168900
6107002901,72200
6111002901,296400
6019002902,82e3
6071002902,108100
6073002902,198600
6083002902,26e4
6099002902,125500
6111002902,264600
6073002903,158800
6083002903,45e4
6107002903,98300
6073002904,194500
6083002904,348400
6107002904,95600
6073002905,180900
6083002906,402800
6083002907,556600
6083002909,353100
6083002910,562800
6083002911,0
6083002912,0
6083002913,428100
6083002914,437200
6007003000,67100
6029003000,69300
6067003000,106700
6071003000,95800
6019003001,85800
6073003001,145900
6083003001,298400
6099003001,117800
6107003001,70100
6111003001,300700
6019003002,96e3
6083003002,883400
6099003002,96200
6107003002,92400
6111003002,186700
6073003003,155600
6073003004,123700
6083003004,387700
6083003005,394e3
6007003100,100400
6071003100,102600
6099003100,13e4
6107003100,72600
6109003100,148400
6111003100,193100
6019003101,93e3
6067003101,80800
6073003101,13e4
6019003102,83300
6067003102,83500
6029003103,66700
6073003103,141700
6073003105,128e3
6077003106,166300
6073003107,148e3
6073003108,142400
6077003108,170300
6073003109,176400
6077003109,133900
6077003110,128e3
6073003111,151800
6077003111,141100
6029003112,96700
6073003112,155900
6077003112,201800
6029003113,89800
6073003113,162e3
6077003113,131e3
6029003114,93900
6073003114,174600
6077003114,216800
6029003115,83800
6073003115,155400
6029003121,79200
