ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
4388,208620,6037208620,"Census Tract 2086.20, Los Angeles County, California",1734,0,1969,56,83,2.5,1.076701,26455,4734,30.8,4716,1669,1094
4389,208710,6037208710,"Census Tract 2087.10, Los Angeles County, California",1963,0,1971,23,24,2.2,0.889964,29702,4451,32.2,4448,1869,1079
4390,208720,6037208720,"Census Tract 2087.20, Los Angeles County, California",1259,0,1948,8,33,1.5,0.310564,17589,3609,27.6,3609,1217,792
4391,2088,6037208800,"Census Tract 2088, Los Angeles County, California",2613,0,1949,54,50,1.5,0.514351,16209,6450,29.9,6174,2436,1235
4392,208902,6037208902,"Census Tract 2089.02, Los Angeles County, California",647,5,1943,46,67,1.3,0.22256600000000001,18528,2344,24.5,2260,557,426
4393,208903,6037208903,"Census Tract 2089.03, Los Angeles County, California",1256,0,1967,76,151,1.2,0.312102,18520,4125,26.7,3745,1117,708
4394,208904,6037208904,"Census Tract 2089.04, Los Angeles County, California",1252,0,1965,44,88,1.3,0.361022,14848,3709,27.1,3608,1182,747
4395,209101,6037209101,"Census Tract 2091.01, Los Angeles County, California",1910,0,1962,114,118,1.7,0.594241,17743,6800,25.2,6214,1814,1339
4396,209102,6037209102,"Census Tract 2091.02, Los Angeles County, California",1578,0,1953,87,113,1.4,0.323194,14505,4677,26.2,4478,1481,912
4397,2092,6037209200,"Census Tract 2092, Los Angeles County, California",545,0,1945,51,77,1.3,0.220183,14836,1467,26.9,1457,522,304
4398,2093,6037209300,"Census Tract 2093, Los Angeles County, California",1219,0,1951,172,267,1.3,0.442166,13781,3100,27.6,3072,1053,567
4399,209401,6037209401,"Census Tract 2094.01, Los Angeles County, California",1266,0,1951,52,177,1.4,0.527646,18239,3967,28.1,3738,1199,729
4400,209402,6037209402,"Census Tract 2094.02, Los Angeles County, California",1240,0,1951,101,93,1.2,0.269355,15369,3398,27.1,3396,1152,683
4401,209403,6037209403,"Census Tract 2094.03, Los Angeles County, California",1319,0,1959,168,138,1.3,0.501137,14817,3480,29.4,3334,1112,714
4402,209510,6037209510,"Census Tract 2095.10, Los Angeles County, California",871,0,1960,14,47,1.7,0.934558,16568,2681,27.5,2606,821,567
4403,209520,6037209520,"Census Tract 2095.20, Los Angeles County, California",1017,0,1960,19,66,1.6,0.760079,21237,2772,28.1,2772,956,597
4404,209810,6037209810,"Census Tract 2098.10, Los Angeles County, California",769,0,1953,6,18,1.3,0.517555,16335,2585,29.6,2265,699,497
4405,209820,6037209820,"Census Tract 2098.20, Los Angeles County, California",880,0,1945,42,54,1.5,0.844318,13792,2708,27,2708,785,564
4406,210010,6037210010,"Census Tract 2100.10, Los Angeles County, California",1176,6,1968,43,21,1.8,0.704082,16938,3607,27.7,3607,1126,714
4407,2110,6037211e3,"Census Tract 2110, Los Angeles County, California",1613,0,1939,0,28,7.2,3.379417,96691,4309,41.5,4308,1551,1096
4408,211110,6037211110,"Census Tract 2111.10, Los Angeles County, California",2348,0,1970,31,39,1.7,0.735094,29688,5779,30.7,5652,2254,1150
4409,211120,6037211120,"Census Tract 2111.20, Los Angeles County, California",2122,0,1978,14,38,2,0.758247,26689,5116,31.6,5057,2081,1234
4410,2112,6037211200,"Census Tract 2112, Los Angeles County, California",2068,0,1953,72,103,1.7,0.62911,21436,6312,28.6,6263,2011,1343
4411,211310,6037211310,"Census Tract 2113.10, Los Angeles County, California",1340,0,1957,18,20,1.6,0.603731,21170,4197,28,4185,1307,904
4412,211320,6037211320,"Census Tract 2113.20, Los Angeles County, California",1281,0,1953,26,34,1.5,0.740047,18734,3654,29.8,3632,1235,798
4413,211410,6037211410,"Census Tract 2114.10, Los Angeles County, California",1228,0,1962,19,25,1.5,0.710912,23785,3470,32.7,3410,1194,829
4414,211420,6037211420,"Census Tract 2114.20, Los Angeles County, California",1333,0,1949,4,8,2.6,1.385596,26989,4117,30.3,4057,1265,875
4415,2115,6037211500,"Census Tract 2115, Los Angeles County, California",1816,0,1948,8,41,3.2,1.785793,35393,4631,35.8,4629,1757,1126
4416,211701,6037211701,"Census Tract 2117.01, Los Angeles County, California",1313,6,1961,19,26,2.6,1.634425,38427,3054,37.6,3047,1269,717
